registros,I_Cmp,I_Und
6,CONTROLE DE ABASTECIMENTO DE VEICULOS,PERCENTUAL
6,CIMENTO PORTLAND,SACO COM 50KG
6,CIMENTO REFRATÁRIO,SACA 50 KG
6,CIMENTO DE IONÔMERO DE VIDRO,UNIDADES
6,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,CONJUNTO
6,RESISTOR PARA AQUECIMENTO,UN
6,REGULADOR CRESCIMENTO PLANTA,TONELADA
6,CIMENTO DE IONÔMERO DE VIDRO,UMA
6,CONTROLE DE ABASTECIMENTO DE VEICULOS,UNID
6,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,PECA
